Over,Up to,Base Tax,Percantage 
0.00,20198.00,0.00, 0.01 
20198.00,47884.00,222.18, 0.02 
47884.00,75576.00,831.27, 0.04 
75576.00,104910.00,2049.72, 0.07 
104910.00,132590.00,3985.76, 0.09 
132590.00,677278.00,6421.60, 0.10 
677278.00,812728.00,62143.18, 0.11 
812728.00,1000000.00,77489.67, 0.12 
1000000.00,1354550.00,100767.58, 0.14 
1354550.00,,148738.19, 0.15 
